name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
C++软件工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",51JOB-北京禾三科技有限公司,[],15-50人,,7号线,神仙树,7号线_高朋大道;7号线_神仙树,https://www.lagou.com/jobs/8125381.html
C++,18k-30k,"['开发|测试|运维类', '后端开发', 'C|C++']",虎特信息科技（上海）有限公司,"['带薪年假', '不打卡', '五险一金', '定期体检']",15-50人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7967652.html
C++,15k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",北京世联互动网络有限公司成都分公司,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/1044673.html
C++,11k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",北京世联互动网络有限公司成都分公司,"['节日礼物', '带薪年假', '绩效奖金', '年度旅游']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8019971.html
高级c++开发工程师,30k-40k,"['开发|测试|运维类', '后端开发', 'C|C++']",深圳华创电科技术有限公司成都分公司,[],15-50人,,7号线,双店路,4号线_槐树店;7号线_槐树店;7号线_双店路;7号线_崔家店,https://www.lagou.com/jobs/7994288.html
c++高级开发工程师,16k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都易我科技开发有限责任公司,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",150-500人,['石羊'],1号线(五根松),火车南站,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(五根松)_火车南站;1号线(科学城)_金融城;1号线(科学城)_高新;1号线(科学城)_火车南站;7号线_火车南站,https://www.lagou.com/jobs/8134782.html
c++开发工程师,12k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都易我科技开发有限责任公司,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",150-500人,['石羊'],1号线(五根松),火车南站,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(五根松)_火车南站;1号线(科学城)_金融城;1号线(科学城)_高新;1号线(科学城)_火车南站;7号线_火车南站,https://www.lagou.com/jobs/8134819.html
c/c++开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都傲梅科技有限公司,"['持续盈利', '扁平管理', '年终分红', '股票期权']",50-150人,"['牛王庙', '九眼桥']",3号线,玉双路,2号线_春熙路;2号线_东门大桥;2号线_牛王庙;3号线_春熙路;4号线_玉双路,https://www.lagou.com/jobs/8037262.html
图像处理开发工程师(C++),15k-20k,"['开发|测试|运维类', '人工智能', '机器学习']",成都品果科技有限公司,"['绩效奖金', '股票期权', '专项奖金', '年终奖']",150-500人,,,,,https://www.lagou.com/jobs/8097659.html
软件工程师c++,25k-33k,"['开发|测试|运维类', '后端开发', 'C|C++']",上海合绎投资管理有限公司,[],少于15人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8027706.html
c++开发工程师（qt方向）,10k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都鹦鹉螺大数据科技有限公司,"['绩效奖金', '带薪年假', '定期体检', '年终分红']",500-2000人,['龙潭'],,,,https://www.lagou.com/jobs/7985113.html
c++软件工程师,9k-14k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都青程融创信息技术有限公司,"['技能培训', '管理规范', '领导好', '节日礼物']",15-50人,,3号线,太平园,3号线_太平园;7号线_太平园;7号线_高朋大道,https://www.lagou.com/jobs/8135111.html
c++开发工程师,8k-12k,"['开发|测试|运维类', '后端开发', 'C|C++']",上海华钦信息科技股份有限公司,"['专项奖金', '带薪年假', '定期体检', '交通补助']",500-2000人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/6665766.html
c++ 开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",杭州顺网科技股份有限公司,"['技能培训', '节日礼物', '年度旅游', '岗位晋升']",500-2000人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/8131183.html
