name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
c语言开发工程师,12k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都金隧自动化工程有限责任公司,[],150-500人,['西南交大'],7号线,西南交大,7号线_北站西二路;7号线_九里堤;7号线_西南交大,https://www.lagou.com/jobs/7899692.html
c语言开发工程师（2021届）,6k-10k,"['开发|测试|运维类', '后端开发', 'C|C++']",杭州初灵信息技术股份有限公司,"['午餐补助', '年度旅游', '带薪年假', '年底双薪']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7826046.html
C语言软件工程师,6k-10k,"['开发|测试|运维类', '后端开发', 'C|C++']",杭州初灵信息技术股份有限公司,"['午餐补助', '年度旅游', '带薪年假', '年底双薪']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/5909468.html
C语言软件开发工程师,15k-25k,"['开发|测试|运维类', '通信工程师', '通信研发工程师']",华为技术有限公司,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",2000人以上,,,,,https://www.lagou.com/jobs/7288058.html
C语言软件开发工程师,15k-25k,"['开发|测试|运维类', '通信工程师', '通信研发工程师']",华为技术有限公司,"['福利完善', '国际化平台', '定期体检', '绩效奖金']",2000人以上,,,,,https://www.lagou.com/jobs/7288042.html
c语言开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'C|C++']",北京东方通科技股份有限公司,"['节日礼物', '技能培训', '绩效奖金', '年度旅游']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8072368.html
c语言开发工程师,6k-10k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都博新优创科技有限公司,[],50-150人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7945386.html
C语言开发工程师,5k-7k,"['开发|测试|运维类', '硬件开发', '驱动开发']",成都彩山科技有限公司,[],150-500人,,,,,https://www.lagou.com/jobs/7345724.html
c语言开发工程师,16k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",北京启明星辰信息安全技术有限公司,"['技能培训', '节日礼物', '股票期权', '免费班车']",2000人以上,,1号线(科学城),兴隆湖,1号线(科学城)_兴隆湖,https://www.lagou.com/jobs/7856003.html
软件开发工程师C语言(华为德科联合招聘),11k-21k,"['开发|测试|运维类', '后端开发', 'C|C++']",华为数字技术有限公司,[],2000人以上,,,,,https://www.lagou.com/jobs/7532175.html
