name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
1131BE-云存储GO开发工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,['柳江'],,,,https://www.lagou.com/jobs/7270541.html
go语言开发工程师,12k-18k,"['开发|测试|运维类', '高端技术职位', '其他高端技术职位']",成都网信天成科技有限公司,"['专项奖金', '绩效奖金', '节日礼物', '领导好']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/6877343.html
go开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",深圳市坎通智能科技有限公司,[],15-50人,"['牛王庙', '牛市口']",2号线,玉双路,2号线_东门大桥;2号线_牛王庙;4号线_玉双路,https://www.lagou.com/jobs/7313082.html
GO开发工程师,14k-20k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都弋云科技有限公司,"['全栈培训', '定期体检', '年度旅游', '食宿补助']",15-50人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7959895.html
Go开发工程师,15k-20k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",杭州隆埠科技有限公司,"['扁平管理', '弹性工作', '五险一金', '互联网公司']",150-500人,,,,,https://www.lagou.com/jobs/7862283.html
GO语言开发工程师,10k-20k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",伍柒必乐科技（成都）有限公司,"['带薪年假', '弹性工作', '五险一金', '年终分红']",15-50人,['华阳'],1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/6063760.html
《王者荣耀》营地后台高级开发工程师（trpc-go方向）（成都）,25k-50k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",腾讯科技（深圳）有限公司,"['免费班车', '成长空间', '年度旅游', '岗位晋升']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7934954.html
后台研发工程师（go/Python）G00126,8k-11k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都新希望金融科技有限公司,"['交通补助', '通讯津贴', '午餐补助', '定期体检']",150-500人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/6275500.html
go语言开发工程师,15k-20k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",北京函真数据技术有限公司,[],少于15人,,1号线(五根松),广都,1号线(五根松)_广都;1号线(五根松)_四河;1号线(五根松)_华府大道;1号线(科学城)_华阳;1号线(科学城)_四河;1号线(科学城)_华府大道,https://www.lagou.com/jobs/8091471.html
go开发工程师,15k-30k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",海南东宏信息技术服务有限公司,[],50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8105034.html
GO后台开发工程师,16k-25k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",MATRIX TECH PTE.LTD.,[],50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7241691.html
go高级开发工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",四川富为科技有限公司,[],15-50人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7488150.html
go语言开发工程师,12k-18k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",四川盛趣时代网络科技有限公司,"['节日礼物', '领导好', '五险一金', '带薪年假']",150-500人,"['石羊', '火车南站']",1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/7572037.html
GO开发工程师,18k-23k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",MATRIX TECH PTE.LTD.,[],50-150人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(科学城)_华府大道;1号线(科学城)_天府五街,https://www.lagou.com/jobs/6282891.html
Go（Golang）开发工程师 工作经验,7k-12k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都爱德芯信息技术有限公司,[],15-50人,,1号线(五根松),天府三街,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7875926.html
"Go语言, C/C++ 软件开发",18k-24k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都零壹众科技有限公司,"['技能培训', '节日礼物', '绩效奖金', '扁平管理']",15-50人,['太升路'],1号线(五根松),骡马市,1号线(五根松)_骡马市;1号线(五根松)_文殊院;1号线(五根松)_人民北路;1号线(科学城)_骡马市;1号线(科学城)_文殊院;1号线(科学城)_人民北路;4号线_太升南路;4号线_骡马市,https://www.lagou.com/jobs/6966023.html
PHP/GO 高级开发工程,15k-25k,"['开发|测试|运维类', '后端开发', 'PHP']",杭州优普信息技术有限公司,"['弹性工作', '扁平管理', '领导好', '帅哥多']",15-50人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7292167.html
go语言开发工程师,13k-16k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都泓泰美泰装饰材料有限公司,[],15-50人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7325648.html
