name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
Java开发工程师,18k-30k,"['开发|测试|运维类', '后端开发', 'Java']",成都千城万家房地产营销策划有限公司,[],150-500人,,,,,https://www.lagou.com/jobs/7999489.html
Java开发工程师,20k-40k,"['开发|测试|运维类', '后端开发', 'Java']",成都千城万家科技有限公司,[],150-500人,['太升路'],3号线,骡马市,1号线(五根松)_锦江宾馆;1号线(五根松)_天府广场;1号线(五根松)_骡马市;1号线(科学城)_锦江宾馆;1号线(科学城)_天府广场;1号线(科学城)_骡马市;2号线_天府广场;2号线_春熙路;3号线_市二医院;3号线_春熙路;4号线_市二医院;4号线_太升南路;4号线_骡马市,https://www.lagou.com/jobs/7808829.html
java工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'Java']",成都智慧城市信息技术有限公司,[],15-50人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8004665.html
Java开发实习,4k-6k,"['开发|测试|运维类', '后端开发', 'Java']",成都佰奥信息技术有限公司,[],15-50人,,1号线(五根松),华府大道,1号线(五根松)_华府大道;1号线(科学城)_华府大道,https://www.lagou.com/jobs/7746969.html
Java开发实习生,3k-5k,"['开发|测试|运维类', '后端开发', 'Java']",成都佰奥信息技术有限公司,[],15-50人,,1号线(五根松),华府大道,1号线(五根松)_华府大道;1号线(科学城)_华府大道,https://www.lagou.com/jobs/7648479.html
java开发工程师,12k-15k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市法本信息技术股份有限公司,[],2000人以上,,,,,https://www.lagou.com/jobs/7938047.html
java开发工程师,15k-30k,"['开发|测试|运维类', '后端开发', 'Java']",成都精灵云科技有限公司,"['云计算', 'docker', '带薪年假', '年度旅游']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8071904.html
java开发工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市法本信息技术股份有限公司,[],2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8133236.html
java工程师,8k-15k,"['开发|测试|运维类', '后端开发', 'Java']",四川环球通科技有限公司,[],50-150人,,,,,https://www.lagou.com/jobs/8134078.html
java,12k-15k,"['开发|测试|运维类', '后端开发', 'Java']",成都康赛信息技术有限公司,"['技能培训', '节日礼物', '年底双薪', '专项奖金']",150-500人,['猛追湾'],3号线,红星桥,3号线_前锋路;3号线_红星桥,https://www.lagou.com/jobs/6427411.html
java高级开发工程师,18k-23k,"['开发|测试|运维类', '后端开发', 'Java']",柏美迪康环境科技（上海）股份有限公司,"['股票期权', '带薪年假', '年度旅游', '扁平管理']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8004363.html
java开发工程师,2k-3k,"['开发|测试|运维类', '后端开发', 'Java']",石家庄绎豪网络科技有限公司,[],少于15人,,1号线(五根松),升仙湖,1号线(五根松)_升仙湖;1号线(五根松)_韦家碾;1号线(科学城)_升仙湖;1号线(科学城)_韦家碾,https://www.lagou.com/jobs/8137959.html
java开发工程师,12k-18k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市思迪信息技术股份有限公司,"['定期体检', '带薪年假', '带薪病假', '弹性工作']",500-2000人,,1号线(五根松),天府三街,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8131225.html
java开发工程师,9k-14k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市汇合发展有限公司,"['绩效奖金', '带薪年假', '管理规范', '五险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7547254.html
高级java开发工程师,16k-23k,"['开发|测试|运维类', '后端开发', 'Java']",准时达国际供应链管理有限公司,[],500-2000人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7983281.html
Java开发工程师,11k-15k,"['开发|测试|运维类', '后端开发', 'Java']",成都卉美园林工程有限公司,[],150-500人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/8137665.html
JAVA开发工程师招聘要求,10k-18k,"['开发|测试|运维类', '后端开发', 'Java']",51JOB-四川阵风科技有限公司,[],150-500人,,1号线(科学城),天府公园,1号线(科学城)_西博城;1号线(科学城)_天府公园;1号线(科学城)_武汉路,https://www.lagou.com/jobs/8073513.html
java开发工程师,6k-10k,"['开发|测试|运维类', '后端开发', 'Java']",成都科鸿智信科技有限公司,[],150-500人,['柳江'],,,,https://www.lagou.com/jobs/7603788.html
java开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'Java']",联联周边游信息技术有限公司成都分公司,[],2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8088682.html
java高级开发工程师,12k-18k,"['开发|测试|运维类', '后端开发', 'Java']",普擎（成都）数字科技有限公司,"['帅哥多', '领导好', '扁平管理', '节日礼物']",50-150人,,,,,https://www.lagou.com/jobs/7879846.html
Java高级工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'Java']",同程网络科技股份有限公司,"['绩效奖金', '股票期权', '年底双薪', '五险一金']",2000人以上,,2号线,牛王庙,2号线_东门大桥;2号线_牛王庙,https://www.lagou.com/jobs/7656784.html
11313Q-java开发工程师（成都）,10k-20k,"['开发|测试|运维类', '后端开发', '后端开发']",平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,,,,,https://www.lagou.com/jobs/6930735.html
113189-资深JAVA开发工程师,15k-30k,"['开发|测试|运维类', '后端开发', 'Java']",平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,['柳江'],,,,https://www.lagou.com/jobs/7087454.html
java中级工程师,9k-15k,"['开发|测试|运维类', '后端开发', 'Java']",成都灵悦互动科技有限公司,"['节日礼物', '岗位晋升', '年度旅游', '扁平管理']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7708843.html
高级java开发工程师,15k-20k,"['开发|测试|运维类', '后端开发', 'Java']",成都中科慧源科技有限公司,"['股票期权', '专项奖金', '岗位晋升', '五险一金']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(科学城)_天府五街,https://www.lagou.com/jobs/6897416.html
java开发工程师,11k-16k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市法本信息技术股份有限公司,[],2000人以上,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7367524.html
java,16k-20k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市法本信息技术股份有限公司,[],2000人以上,,3号线,衣冠庙,3号线_衣冠庙;3号线_高升桥,https://www.lagou.com/jobs/7892671.html
Java开发经理,14k-20k,"['开发|测试|运维类', '后端开发', 'Java']",成都康赛信息技术有限公司,"['技能培训', '节日礼物', '年底双薪', '专项奖金']",150-500人,['猛追湾'],3号线,红星桥,3号线_前锋路;3号线_红星桥,https://www.lagou.com/jobs/1472235.html
高级java开发工程师,12k-18k,"['开发|测试|运维类', '后端开发', 'Java']",四川兴政信息技术有限公司,"['技能培训', '节日礼物', '带薪年假', '绩效奖金']",150-500人,,,,,https://www.lagou.com/jobs/7622925.html
java工程师,9k-16k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市紫川软件有限公司,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']",500-2000人,,,,,https://www.lagou.com/jobs/6275005.html
