name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
Python开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'Python']",新蛋科技（成都）有限公司,"['年底双薪', '五险一金', '带薪年假', '节日礼物']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7891057.html
python爬虫工程师,13k-20k,"['开发|测试|运维类', '后端开发', 'Python']",四川电科网安科技有限公司,[],50-150人,,,,,https://www.lagou.com/jobs/7626838.html
中级Python开发工程师,10k-20k,"['开发|测试|运维类', '后端开发', 'Python']",成都乐信圣文科技有限责任公司,"['带薪年假', '年终奖金', '五险一金', '12%公积金']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7810806.html
python开发工程师,10k-16k,"['开发|测试|运维类', '后端开发', 'Python']",深圳市法本信息技术股份有限公司,[],2000人以上,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7368269.html
python开发工程师,8k-12k,"['开发|测试|运维类', '后端开发', 'Python']",成都冰河云存科技有限公司,"['专项奖金', '带薪年假', '技能培训', '岗位晋升']",15-50人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7734778.html
python工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'Python']",山东新希望六和集团有限公司,[],2000人以上,,,,,https://www.lagou.com/jobs/8090012.html
python后端开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'Python']",成都萌想科技有限责任公司,"['美女多', '技能培训', '扁平管理', '领导好']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(科学城)_天府五街,https://www.lagou.com/jobs/6360415.html
后端开发工程师（Python/golang）,12k-24k,"['开发|测试|运维类', '后端开发', '后端开发']",北京青云科技股份有限公司,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",500-2000人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_孵化园;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/8081848.html
python开发工程师,12k-18k,"['开发|测试|运维类', '后端开发', 'Python']",诚迈科技（南京）股份有限公司,"['年底双薪', '专项奖金', '交通补助', '午餐补助']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7885787.html
Python工程师(J10235),6k-12k,"['开发|测试|运维类', '数据开发', '爬虫']",成都数联铭品科技有限公司,"['带薪年假', '扁平管理', '美女多', '领导好']",500-2000人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_孵化园;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/7890373.html
