name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
前端开发工程师,20k-40k,"['开发|测试|运维类', '移动前端开发', 'WEB前端']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/5919906.html
前端开发实习生,5k-10k,"['开发|测试|运维类', '移动前端开发', '其他移动前端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7994169.html
前端开发工程师（成都）,11k-20k,"['开发|测试|运维类', '前端开发', 'WEB前端']",北京格灵深瞳信息技术有限公司,"['技能培训', '节日礼物', '玩乐项目多', '岗位晋升']",150-500人,,1号线(五根松),锦城广场,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(五根松)_锦城广场;1号线(科学城)_天府三街;1号线(科学城)_世纪城;1号线(科学城)_锦城广场,https://www.lagou.com/jobs/8124195.html
WEB前端实习生,4k-5k,"['开发|测试|运维类', '前端开发', 'WEB前端']",成都佰奥信息技术有限公司,[],15-50人,['金沙'],2号线,羊犀立交,2号线_羊犀立交;2号线_一品天下;7号线_一品天下,https://www.lagou.com/jobs/5701920.html
前端工程师,8k-12k,"['开发|测试|运维类', '前端开发', 'WEB前端']",深圳市法本信息技术股份有限公司,[],2000人以上,,,,,https://www.lagou.com/jobs/7975650.html
前端开发工程师,15k-20k,"['开发|测试|运维类', '前端开发', 'WEB前端']",成都智明未来教育科技有限公司,"['带薪年假', '定期体检', '弹性工作', '节日礼物']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8105257.html
前端开发工程师,9k-14k,"['开发|测试|运维类', '前端开发', 'WEB前端']",深圳市法本信息技术股份有限公司,[],2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8136933.html
前端开发工程师,6k-12k,"['开发|测试|运维类', '前端开发', 'WEB前端']",成都环宇知了科技有限公司,"['带薪年假', '绩效奖金', '专项奖金', '年底双薪']",500-2000人,['犀浦'],2号线,天河路,2号线_天河路;2号线_百草路,https://www.lagou.com/jobs/7589484.html
前端开发工程师,10k-18k,"['开发|测试|运维类', '前端开发', 'WEB前端']",上海中软华腾软件系统有限公司,"['绩效奖金', '带薪年假', '定期体检', '管理规范']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7829103.html
前端开发工程师,8k-12k,"['开发|测试|运维类', '前端开发', 'WEB前端']",成都康赛信息技术有限公司,"['技能培训', '节日礼物', '年底双薪', '专项奖金']",150-500人,['猛追湾'],3号线,红星桥,3号线_前锋路;3号线_红星桥,https://www.lagou.com/jobs/7300482.html
