name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
行政助理,3k-4k,"['综合职能|高级管理', '行政', '助理']",平安普惠投资咨询有限公司成都第五分公司,[],2000人以上,,7号线,西南交大,7号线_西南交大,https://www.lagou.com/jobs/7829025.html
计师助理,2k-3k,"['设计类', '视觉', 'UI']",四川省轻工业设计师联合会,[],50-150人,,3号线,武青南路,3号线_武侯立交;3号线_武青南路,https://www.lagou.com/jobs/7175024.html
招设计师助理,2k-3k,"['设计类', '工业设计', 'CAD设计']",四川智府文化发展有限公司,[],15-50人,,3号线,武青南路,3号线_武侯立交;3号线_武青南路,https://www.lagou.com/jobs/6976771.html
销售助理,3k-5k,"['销售类', '销售', '销售专员|助理']",广东坚朗五金制品股份有限公司成都分公司,[],2000人以上,,4号线,非遗博览园,4号线_非遗博览园;4号线_马厂坝,https://www.lagou.com/jobs/8084448.html
运营助理,3k-4k,"['运营|编辑|客服类', '运营', '运营助理|专员']",成都点石众合品牌营销策划有限公司,[],15-50人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8061833.html
秘书助理,8k-16k,"['综合职能|高级管理', '行政', '助理']",四川修正卫生用品有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/8080948.html
商务助理,4k-6k,"['销售类', '销售', '商务拓展|BD']",成都优彼致愿教育科技有限公司,"['股票期权', '年底双薪', '弹性工作', '扁平管理']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7698870.html
行政助理兼前台,5k-8k,"['综合职能|高级管理', '行政', '助理']",成都优彼致愿教育科技有限公司,"['股票期权', '年底双薪', '弹性工作', '扁平管理']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7799749.html
电商运营助理,4k-6k,"['运营|编辑|客服类', '运营', '电商运营']",成都环宇知了科技有限公司,"['带薪年假', '绩效奖金', '专项奖金', '年底双薪']",500-2000人,['犀浦'],2号线,天河路,2号线_天河路;2号线_百草路,https://www.lagou.com/jobs/7299340.html
总裁助理,6k-9k,"['综合职能|高级管理', '行政', '总助']",成都洛坤商务咨询有限责任公司,[],少于15人,,7号线,狮子山,7号线_四川师大;7号线_狮子山,https://www.lagou.com/jobs/8057348.html
跨境电商运营助理,3k-6k,"['运营|编辑|客服类', '运营', '电商运营']",成都九宫格科技有限公司,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",15-50人,,,,,https://www.lagou.com/jobs/6011321.html
项目助理（海外休闲游戏）,4k-8k,"['产品|需求|项目类', '项目管理', '项目助理']",成都星合互娱科技有限公司,"['绩效奖金', '午餐补助', '股票期权', '定期体检']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7855587.html
高级助理,10k-20k,"['商业服务|专业服务', '翻译', '英语翻译']",成都市双虎实业有限公司,[],50-150人,['天彭'],,,,https://www.lagou.com/jobs/8082419.html
java 及Web 软件工程师助理,4k-6k,"['开发|测试|运维类', '后端开发', 'Java']",成都点记科技有限公司,[],15-50人,,7号线,狮子山,7号线_四川师大;7号线_狮子山,https://www.lagou.com/jobs/8129838.html
行政人事助理,3k-5k,"['综合职能|高级管理', '行政', '助理']",四川众信互联科技有限公司,"['年底双薪', '绩效奖金', '股票期权', '扁平管理']",15-50人,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/7885628.html
行政助理,4k-6k,"['综合职能|高级管理', '行政', '助理']",成都季诺科技有限公司,"['甲级写字楼', 'Mac办公', '法定节假日', '零食下午茶']",50-150人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/8128048.html
助理,3k-6k,"['综合职能|高级管理', '行政', '助理']",四川法知道知识产权有限公司,[],15-50人,,2号线,成渝立交,2号线_成渝立交,https://www.lagou.com/jobs/8136810.html
HR助理（外包）,8k-10k,"['综合职能|高级管理', '人力资源', 'HRBP']",北京嘀嘀无限科技发展有限公司,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",2000人以上,,2号线,牛王庙,2号线_东门大桥;2号线_牛王庙,https://www.lagou.com/jobs/7952785.html
招聘专员/助理（签第三方公司 转正机会）,8k-15k,"['综合职能|高级管理', '人力资源', '招聘']",北京嘀嘀无限科技发展有限公司,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",2000人以上,,3号线,东门大桥,1号线(五根松)_天府广场;1号线(科学城)_天府广场;2号线_天府广场;2号线_春熙路;2号线_东门大桥;3号线_市二医院;3号线_春熙路;4号线_市二医院;4号线_太升南路,https://www.lagou.com/jobs/7822876.html
销售助理,4k-7k,"['销售类', '销售', '销售专员|助理']",成都盛驰环保科技有限公司,[],2000人以上,['太升路'],3号线,骡马市,1号线(五根松)_天府广场;1号线(五根松)_骡马市;1号线(五根松)_文殊院;1号线(科学城)_天府广场;1号线(科学城)_骡马市;1号线(科学城)_文殊院;2号线_人民公园;2号线_天府广场;2号线_春熙路;3号线_市二医院;3号线_春熙路;4号线_市二医院;4号线_太升南路;4号线_骡马市,https://www.lagou.com/jobs/6677824.html
java助理,5k-7k,"['开发|测试|运维类', '后端开发', 'Java']",重庆宏易特科技有限公司,[],50-150人,,3号线,玉双路,2号线_春熙路;2号线_东门大桥;2号线_牛王庙;3号线_市二医院;3号线_春熙路;3号线_新南门;4号线_玉双路;4号线_市二医院,https://www.lagou.com/jobs/6932504.html
商务助理,4k-7k,"['销售类', '销售', '商务拓展|BD']",成都科鸿智信科技有限公司,[],150-500人,['柳江'],,,,https://www.lagou.com/jobs/7758019.html
销售助理,4k-6k,"['销售类', '销售', '销售专员|助理']",成都科鸿智信科技有限公司,[],150-500人,['柳江'],,,,https://www.lagou.com/jobs/8016554.html
【实习】产品经理助理（成都）,2k-3k,"['产品|需求|项目类', '产品经理', '产品助理']",杭州安恒信息技术股份有限公司,"['年终分红', '股票期权', '绩效奖金', '五险一金']",500-2000人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7055037.html
