name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
后端开发实习生,5k-10k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7990418.html
后端开发工程师-OKR团队,20k-40k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7901704.html
后端开发工程师（成都）,11k-20k,"['开发|测试|运维类', '后端开发', '后端开发']",北京格灵深瞳信息技术有限公司,"['技能培训', '节日礼物', '玩乐项目多', '岗位晋升']",150-500人,,1号线(五根松),锦城广场,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(五根松)_锦城广场;1号线(科学城)_天府三街;1号线(科学城)_世纪城;1号线(科学城)_锦城广场,https://www.lagou.com/jobs/8124190.html
后端开发工程师,15k-30k,"['开发|测试|运维类', '后端开发', '后端开发']",上海谱时昊唯数据科技有限公司,[],少于15人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8046314.html
1131CQ-物联网软件后端开发工程师,10k-20k,"['开发|测试|运维类', '后端开发', 'Java']",平安科技（深圳）有限公司,"['六险一金', '扁平化管理', '丰厚年终', '丰富技术交流']",2000人以上,,,,,https://www.lagou.com/jobs/7373709.html
后端开发,10k-15k,"['开发|测试|运维类', '后端开发', '后端开发']",成都中云天下科技有限公司,"['股票期权', '绩效奖金', '定期体检', '美女多']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8044487.html
初中级后端开发工程师,13k-25k,"['开发|测试|运维类', '后端开发', '后端开发']",成都精灵云科技有限公司,"['云计算', 'docker', '带薪年假', '年度旅游']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8071259.html
后端开发工程师,18k-25k,"['开发|测试|运维类', '后端开发', '后端开发']",杭州隆埠科技有限公司,"['扁平管理', '弹性工作', '五险一金', '互联网公司']",150-500人,,3号线,衣冠庙,3号线_衣冠庙;3号线_高升桥,https://www.lagou.com/jobs/7837757.html
python后端开发工程师,10k-15k,"['开发|测试|运维类', '后端开发', 'Python']",成都萌想科技有限责任公司,"['美女多', '技能培训', '扁平管理', '领导好']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(科学城)_天府五街,https://www.lagou.com/jobs/6360415.html
后端开发工程师（Python/golang）,12k-24k,"['开发|测试|运维类', '后端开发', '后端开发']",北京青云科技股份有限公司,"['技能培训', '带薪年假', '绩效奖金', '岗位晋升']",500-2000人,,1号线(五根松),金融城,1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_孵化园;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/8081848.html
Java后端开发工程师,15k-21k,"['开发|测试|运维类', '后端开发', 'Java']",成都乐劲科技有限责任公司,"['股票期权', '带薪年假', '节日礼物', '美女多']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7986497.html
Java后端开发工程师,8k-15k,"['开发|测试|运维类', '后端开发', 'Java']",成都市肆零肆网络科技有限公司,"['弹性工作', '帅哥多', '节日礼物', '管理规范']",50-150人,['肖家河'],3号线,衣冠庙,3号线_衣冠庙;3号线_红牌楼;7号线_高朋大道,https://www.lagou.com/jobs/8064836.html
【华为预备役】前端开发工程师/后端开发工程师,15k-30k,"['开发|测试|运维类', '后端开发', '后端开发']",华为技术有限公司,[],2000人以上,,,,,https://www.lagou.com/jobs/8088331.html
高级后端工程师,10k-16k,"['开发|测试|运维类', '后端开发', '后端开发']",四川港投云港科技有限公司,"['国企', '双休', '足额购社保', '足额购公积金']",50-150人,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/7858707.html
后端开发工程师-成都,24k-48k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7762374.html
IaaS产品后端工程师,20k-40k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7945657.html
中、高级后端工程师,8k-16k,"['开发|测试|运维类', '后端开发', '后端开发']",四川港投云港科技有限公司,"['国企', '双休', '足额购社保', '足额购公积金']",50-150人,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/8118204.html
.net后端,8k-15k,"['开发|测试|运维类', '后端开发', 'C#|.NET']",成都管家婆云科技有限公司,"['年底双薪', '绩效奖金', '带薪年假', '午餐补助']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7144890.html
java后端,12k-20k,"['开发|测试|运维类', '后端开发', 'Java']",艾拉物联网络（深圳）有限公司,"['期权激励', '绩效奖金', '岗位晋升', '管理规范']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/6917460.html
后端开发,10k-16k,"['开发|测试|运维类', '后端开发', '后端开发']",成都南天佳信信息工程有限公司,[],50-150人,,,,,https://www.lagou.com/jobs/7394718.html
后端开发工程师,10k-20k,"['开发|测试|运维类', '后端开发', 'Java']",北京智者天下科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",500-2000人,,1号线(五根松),广都,1号线(五根松)_广都;1号线(五根松)_四河;1号线(五根松)_华府大道;1号线(科学城)_华阳;1号线(科学城)_四河;1号线(科学城)_华府大道,https://www.lagou.com/jobs/4585575.html
资深后端开发工程师（成都） (MJ001177),25k-50k,"['开发|测试|运维类', '后端开发', '后端开发']",北京智者天下科技有限公司,"['年底双薪', '股票期权', '带薪年假', '定期体检']",500-2000人,,1号线(五根松),广都,1号线(五根松)_广都;1号线(五根松)_四河;1号线(五根松)_华府大道;1号线(科学城)_华阳;1号线(科学城)_四河;1号线(科学城)_华府大道,https://www.lagou.com/jobs/7849709.html
后端PHP研发工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'PHP']",深圳市顺丰同城物流有限公司,"['领导好', '节日礼物', '岗位晋升', '五险一金']",2000人以上,"['紫荆', '高升桥']",3号线,衣冠庙,3号线_衣冠庙;7号线_高朋大道,https://www.lagou.com/jobs/7306968.html
后端JAVA研发工程师,15k-25k,"['开发|测试|运维类', '后端开发', 'Java']",深圳市顺丰同城物流有限公司,"['领导好', '节日礼物', '岗位晋升', '五险一金']",2000人以上,"['紫荆', '高升桥']",3号线,衣冠庙,3号线_衣冠庙;7号线_高朋大道,https://www.lagou.com/jobs/7307246.html
golang后端,15k-30k,"['开发|测试|运维类', '后端开发', 'GO|Golang']",成都星合互娱科技有限公司,"['绩效奖金', '午餐补助', '股票期权', '定期体检']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7861469.html
