name,salary,types,companyFullName,companyLabelList,companySize,businessZones,subwayline,stationname,linestaion,url
内部审计,6k-8k,"['综合职能|高级管理', '其他职能职位', '其他职能职位']",四川品品食品有限公司,"['专项奖金', '年终分红', '绩效奖金']",500-2000人,,4号线,成都西站,4号线_成都西站;4号线_中坝,https://www.lagou.com/jobs/6800103.html
审计专员,6k-8k,"['综合职能|高级管理', '财务', '财务审计']",四川德兴和科技有限公司,[],15-50人,['保和'],7号线,双店路,4号线_槐树店;7号线_迎晖路;7号线_槐树店;7号线_双店路,https://www.lagou.com/jobs/5550715.html
审计助理,3k-5k,"['综合职能|高级管理', '财务', '财务审计']",普华永道商务服务（成都）有限公司,[],2000人以上,['中和'],1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7754637.html
审计助理,8k-13k,"['综合职能|高级管理', '财务', '财务审计']",四川君一会计师事务所有限责任公司,[],15-50人,,7号线,槐树店,4号线_槐树店;7号线_迎晖路;7号线_槐树店,https://www.lagou.com/jobs/7442727.html
工程审计（土建）,8k-16k,"['房地产|建筑|物业', '建筑装潢|市政建设', '工程造价师|预结算经理']",西藏海思科药业集团股份有限公司,[],2000人以上,['天府'],,,,https://www.lagou.com/jobs/6722958.html
成本预算审计,5k-6k,"['房地产|建筑|物业', '建筑装潢|市政建设', '其他']",成都六间仓科技有限公司,"['带薪年假', '定期体检', '绩效奖金', '专项奖金']",15-50人,,1号线(五根松),火车南站,1号线(五根松)_高新;1号线(五根松)_火车南站;1号线(科学城)_高新;1号线(科学城)_火车南站;7号线_火车南站;7号线_三瓦窑,https://www.lagou.com/jobs/3371267.html
分布式存储智能管控平台后端开发工程师,20k-40k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7945724.html
分布式存储智能管控平台前端开发工程师,20k-40k,"['开发|测试|运维类', '后端开发', '其他后端开发']",北京字节跳动科技有限公司,"['扁平管理', '弹性工作', '就近租房补贴', '六险一金']",2000人以上,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8056881.html
采购主管,8k-10k,"['贸易|批发|零售|租赁业', '采购', '采购主管']",成都智慧城市信息技术有限公司,[],15-50人,,1号线(五根松),天府五街,1号线(五根松)_华府大道;1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_华府大道;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/8128221.html
出纳/会计,3k-6k,"['综合职能|高级管理', '财务', '财务']",北京鱼爪网络科技有限公司成都分公司,"['专项奖金', '绩效奖金', '午餐补助', '带薪年假']",2000人以上,"['春熙路', '红星路']",3号线,骡马市,1号线(五根松)_锦江宾馆;1号线(五根松)_天府广场;1号线(五根松)_骡马市;1号线(科学城)_锦江宾馆;1号线(科学城)_天府广场;1号线(科学城)_骡马市;2号线_天府广场;2号线_春熙路;3号线_市二医院;3号线_春熙路;4号线_市二医院;4号线_太升南路;4号线_骡马市,https://www.lagou.com/jobs/7748964.html
会计专员,5k-8k,"['综合职能|高级管理', '财务', '会计']",成都智明未来教育科技有限公司,"['带薪年假', '定期体检', '弹性工作', '节日礼物']",150-500人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8098710.html
HR共享服务主管,8k-15k,"['综合职能|高级管理', '人力资源', '员工关系']",北京达佳互联信息技术有限公司,"['股票期权', '弹性工作', '定期体检', '岗位晋升']",2000人以上,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/8019287.html
高级安全工程师,20k-40k,"['开发|测试|运维类', '运维', '系统安全']",成都链安科技有限公司,"['股票期权', '带薪年假', '定期体检']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/5850019.html
财务经理,10k-15k,"['综合职能|高级管理', '高端综合职能职位', '财务经理']",成都链安科技有限公司,"['股票期权', '带薪年假', '定期体检']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7326457.html
财务会计,5k-7k,"['综合职能|高级管理', '财务', '会计']",四川怡和祥烧坊酒业有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/8033760.html
软件质量管理经理/QA经理,10k-15k,"['产品|需求|项目类', '项目管理', 'QA']",成都华栖云科技有限公司,"['年底双薪', '股票期权', '带薪年假', '美女多']",500-2000人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(科学城)_天府五街;1号线(科学城)_天府三街,https://www.lagou.com/jobs/7893129.html
网络安全研究员(偏IOT方向),12k-20k,"['开发|测试|运维类', '后端开发', 'C|C++']",成都市肆零肆网络科技有限公司,"['弹性工作', '帅哥多', '节日礼物', '管理规范']",50-150人,['肖家河'],3号线,衣冠庙,3号线_衣冠庙;3号线_红牌楼;7号线_高朋大道,https://www.lagou.com/jobs/6388958.html
网络安全讲师,10k-20k,"['开发|测试|运维类', '运维', '网络安全']",成都蜗牛创想科技有限公司,"['年底双薪', '带薪年假', '定期体检', '绩效奖金']",50-150人,,1号线(五根松),锦城广场,1号线(五根松)_锦城广场;1号线(五根松)_孵化园;1号线(五根松)_金融城;1号线(科学城)_锦城广场;1号线(科学城)_孵化园;1号线(科学城)_金融城,https://www.lagou.com/jobs/7216716.html
财务负责人,13k-16k,"['综合职能|高级管理', '高端综合职能职位', '财务经理']",四川仙潭酒业销售有限公司,"['社会保险', '年终奖金', '节日福利', '生日礼物']",500-2000人,,7号线,神仙树,7号线_高朋大道;7号线_神仙树,https://www.lagou.com/jobs/7545085.html
财务数据分析师,10k-20k,"['综合职能|高级管理', '财务', '财务分析师']",四川仙潭酒业销售有限公司,"['社会保险', '年终奖金', '节日福利', '生日礼物']",500-2000人,,7号线,神仙树,7号线_高朋大道;7号线_神仙树,https://www.lagou.com/jobs/7056202.html
QA,8k-12k,"['生产|加工|制造', '质量管理|安全防护', '质量管理|测试经理(QA|QC经理)']",成都路行通信息技术有限公司,"['年度旅游', '岗位晋升', '五险一金', '弹性工作']",500-2000人,,1号线(五根松),天府三街,1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/8039825.html
财务经理,8k-12k,"['综合职能|高级管理', '高端综合职能职位', '财务经理']",成都网感科技有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/7799612.html
财务主管/经理,8k-12k,"['综合职能|高级管理', '财务', '财务']",成都网感科技有限公司,[],15-50人,,,,,https://www.lagou.com/jobs/7860973.html
渗透测试工程师,12k-20k,"['开发|测试|运维类', '测试', '渗透测试']",北京汇通天下物联科技有限公司,"['节日礼物', '技能培训', '专项奖金', '绩效奖金']",500-2000人,,1号线(科学城),广福,1号线(科学城)_广福;1号线(科学城)_海昌路;1号线(科学城)_华阳,https://www.lagou.com/jobs/8118053.html
财务会计,5k-7k,"['综合职能|高级管理', '财务', '会计']",梦思特科技（成都）有限公司,"['弹性工作', '领导好', '扁平管理', '五险一金']",50-150人,,1号线(五根松),天府五街,1号线(五根松)_天府五街;1号线(五根松)_天府三街;1号线(五根松)_世纪城;1号线(科学城)_天府五街;1号线(科学城)_天府三街;1号线(科学城)_世纪城,https://www.lagou.com/jobs/7969116.html
配置管理工程师,5k-8k,"['开发|测试|运维类', '运维', '运维工程师']",成都鼎安华智慧物联网股份有限公司,"['绩效奖金', '通讯津贴', '年度旅游', '领导好']",50-150人,['创业路'],3号线,太平园,3号线_太平园;7号线_太平园;7号线_高朋大道,https://www.lagou.com/jobs/7505413.html
安全研究员（成都）-MDR,14k-20k,"['开发|测试|运维类', '高端技术职位', '其他高端技术职位']",绿盟科技集团股份有限公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",500-2000人,,1号线(五根松),广都,1号线(五根松)_广都;1号线(科学城)_华阳,https://www.lagou.com/jobs/7750810.html
网络安全专家,15k-25k,"['开发|测试|运维类', '运维', '网络安全']",中电通商数字技术（上海）有限公司,"['央企背景', '数字城市', '管理规范', '技能培训']",50-150人,,,,,https://www.lagou.com/jobs/7773180.html
安全运维工程师,10k-20k,"['开发|测试|运维类', '运维', '运维工程师']",中电通商数字技术（上海）有限公司,"['央企背景', '数字城市', '管理规范', '技能培训']",50-150人,,,,,https://www.lagou.com/jobs/7458945.html
信息安全岗,8k-16k,"['开发|测试|运维类', '运维', '信息安全']",四川锦程消费金融有限责任公司,[],150-500人,,1号线(五根松),金融城,1号线(五根松)_金融城;1号线(五根松)_高新;1号线(科学城)_金融城;1号线(科学城)_高新,https://www.lagou.com/jobs/7317229.html
